ID,Name,Base Salary,Overtime Pay,Absence Deduction,NSSF,Tax Amount,Tax Rate,Net Salary
F1,Sean Manutnithya,3200.00,60.00,0.00,6.00,652.00,20.00%,2602.00
F2,Tang Chandara,1200.00,22.50,60.00,6.00,116.25,10.00%,1040.25
F3,Tang Sovanoudom,5000.00,468.75,0.00,6.00,1093.75,20.00%,4369.00
F4,Thorn Bunthet,3500.00,393.75,0.00,6.00,778.75,20.00%,3109.00
F5,Kev Veasna,2800.00,26.25,280.00,6.00,381.94,15.00%,2158.31
F6,Prum Somnang,2000.00,0.00,0.00,6.00,200.00,10.00%,1794.00
F7,Pech Janmony,4250.00,0.00,0.00,6.00,850.00,20.00%,3394.00
F8,Lai Heng,5000.00,0.00,750.00,6.00,850.00,20.00%,3394.00
F9,Ichigo Kurosaki,4200.00,196.88,0.00,6.00,879.38,20.00%,3511.50
F10,Camado Tanjiro,670.00,0.00,67.00,6.00,60.30,10.00%,536.70
H1,Mey Kimheng,1600.00,15.00,0.00,0.00,161.50,10.00%,1453.50
H2,Heng Dara,1920.00,36.00,0.00,0.00,195.60,10.00%,1760.40
H3,Leap Phea,1600.00,45.00,0.00,0.00,164.50,10.00%,1480.50
H4,Thol Sokheng,1440.00,27.00,144.00,0.00,132.30,10.00%,1190.70
H5,Ly Meylii,1600.00,180.00,0.00,0.00,178.00,10.00%,1602.00
H6,Srun Darlin,1600.00,0.00,0.00,0.00,160.00,10.00%,1440.00
H7,Ly Visal,1600.00,0.00,0.00,0.00,160.00,10.00%,1440.00
H8,Jonh Smith,2400.00,0.00,0.00,0.00,360.00,15.00%,2040.00
H9,Nephew Jastin,1600.00,0.00,0.00,0.00,160.00,10.00%,1440.00
H10,Ean Seyha,1600.00,0.00,0.00,0.00,160.00,10.00%,1440.00
