ID,Name,Gender,Department,Position,Hourly Paid,Phone
H1,Mey Kimheng,F,IT,Frontend Developer,24,10123456
H2,Heng Dara,M,MKT,Video Editor ,25.5,11234567
H3,Leap Phea,F,IT,API Developer,30,12345678
H4,Thol Sokheng,M,IT,Backend Developer,30,13456789
H5,Ly Meylii,F,PR,Chief Communications Officer,18,14567890
H6,Srun Darlin,F,PR,Public Affairs Specialist,25,15678901
H7,Ly Visal,M,Sale,Saller,15,16789012
H8,Jonh Smith,M,MKT,Video and Photo Shooter,20,17890123
H9,Nephew Jastin,M,MKT,Marketing Specialist,12,18901234
H10,Ean Seyha,M,MKT,Campaign Planner,12,19012345
